model_name,threshold,positive_rate_pr_auc_baseline,pr_auc,roc_auc,precision,recall,f1_score,accuracy,true_negative,false_positive,false_negative,true_positive,training_seconds,inference_seconds,inference_ms_per_order
selected_model,0.57,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.22206896551724137,0.20827943078913325,0.21495327102803738,0.918717168924523,13131,564,612,161,0.0,0.0,0.0
selected_model,0.58,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.2269170579029734,0.18758085381630013,0.20538243626062322,0.922449543820846,13201,494,628,145,0.0,0.0,0.0
selected_model,0.59,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.22321428571428573,0.16170763260025872,0.18754688672168043,0.9251451479126348,13260,435,648,125,0.0,0.0,0.0
selected_model,0.6,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.23430962343096234,0.1448900388098318,0.17905675459632295,0.9290157589162289,13329,366,661,112,0.0,0.0,0.0
selected_model,0.61,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.24029126213592233,0.12807244501940493,0.1670886075949367,0.9317804810616533,13382,313,674,99,0.0,0.0,0.0
selected_model,0.62,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.22636103151862463,0.10219922380336352,0.1408199643493761,0.9333701962952723,13425,270,694,79,0.0,0.0,0.0
selected_model,0.63,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.22996515679442509,0.08538163001293661,0.12452830188679245,0.9358584462261542,13474,221,707,66,0.0,0.0,0.0
selected_model,0.64,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.25,0.07891332470892626,0.119960668633235,0.9381393419961294,13512,183,712,61,0.0,0.0,0.0
selected_model,0.65,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.2653061224489796,0.06727037516170763,0.10732714138286893,0.9402128836051977,13551,144,721,52,0.0,0.0,0.0
selected_model,0.66,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.267515923566879,0.054333764553686936,0.09032258064516129,0.9415261266242743,13580,115,731,42,0.0,0.0,0.0
selected_model,0.67,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.23577235772357724,0.037516170763260026,0.06473214285714286,0.9420790710533591,13601,94,744,29,0.0,0.0,0.0
selected_model,0.68,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.25742574257425743,0.03363518758085381,0.059496567505720827,0.9431849599115288,13620,75,747,26,0.0,0.0,0.0
selected_model,0.69,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.27586206896551724,0.031047865459249677,0.05581395348837209,0.943876140447885,13632,63,749,24,0.0,0.0,0.0
selected_model,0.7,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.3142857142857143,0.028460543337645538,0.05219454329774614,0.9447746751451479,13647,48,751,22,0.0,0.0,0.0
selected_model,0.71,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.31666666666666665,0.02457956015523933,0.04561824729891957,0.9450511473596903,13654,41,754,19,0.0,0.0,0.0
selected_model,0.72,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.3333333333333333,0.02199223803363519,0.0412621359223301,0.9453967376278684,13661,34,756,17,0.0,0.0,0.0
selected_model,0.73,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.36585365853658536,0.019404915912031046,0.036855036855036855,0.945811445949682,13669,26,758,15,0.0,0.0,0.0
selected_model,0.74,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.2903225806451613,0.01164294954721863,0.022388059701492536,0.9456732098424109,13673,22,764,9,0.0,0.0,0.0
selected_model,0.75,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.34782608695652173,0.01034928848641656,0.020100502512562814,0.9460879181642246,13680,15,765,8,0.0,0.0,0.0
selected_model,0.76,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.3333333333333333,0.007761966364812419,0.015170670037926675,0.9461570362178601,13683,12,767,6,0.0,0.0,0.0
selected_model,0.77,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.35714285714285715,0.00646830530401035,0.012706480304955527,0.9462952723251313,13686,9,768,5,0.0,0.0,0.0
selected_model,0.78,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.4166666666666667,0.00646830530401035,0.012738853503184714,0.9464335084324026,13688,7,768,5,0.0,0.0,0.0
selected_model,0.79,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.45454545454545453,0.00646830530401035,0.012755102040816327,0.9465026264860381,13689,6,768,5,0.0,0.0,0.0
selected_model,0.8,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.5,0.00517464424320828,0.010243277848911651,0.9465717445396737,13691,4,769,4,0.0,0.0,0.0
selected_model,0.81,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.4,0.00258732212160414,0.005141388174807198,0.9465026264860381,13692,3,771,2,0.0,0.0,0.0
selected_model,0.82,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.5,0.00258732212160414,0.005148005148005148,0.9465717445396737,13693,2,771,2,0.0,0.0,0.0
selected_model,0.83,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.5,0.00129366106080207,0.0025806451612903226,0.9465717445396737,13694,1,772,1,0.0,0.0,0.0
selected_model,0.84,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.0,0.0,0.0,0.9465717445396737,13695,0,773,0,0.0,0.0,0.0
selected_model,0.85,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.0,0.0,0.0,0.9465717445396737,13695,0,773,0,0.0,0.0,0.0
selected_model,0.86,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.0,0.0,0.0,0.9465717445396737,13695,0,773,0,0.0,0.0,0.0
selected_model,0.87,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.0,0.0,0.0,0.9465717445396737,13695,0,773,0,0.0,0.0,0.0
selected_model,0.88,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.0,0.0,0.0,0.9465717445396737,13695,0,773,0,0.0,0.0,0.0
selected_model,0.89,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.0,0.0,0.0,0.9465717445396737,13695,0,773,0,0.0,0.0,0.0
selected_model,0.9,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.0,0.0,0.0,0.9465717445396737,13695,0,773,0,0.0,0.0,0.0
selected_model,0.91,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.0,0.0,0.0,0.9465717445396737,13695,0,773,0,0.0,0.0,0.0
selected_model,0.92,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.0,0.0,0.0,0.9465717445396737,13695,0,773,0,0.0,0.0,0.0
selected_model,0.93,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.0,0.0,0.0,0.9465717445396737,13695,0,773,0,0.0,0.0,0.0
selected_model,0.94,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.0,0.0,0.0,0.9465717445396737,13695,0,773,0,0.0,0.0,0.0
selected_model,0.95,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.0,0.0,0.0,0.9465717445396737,13695,0,773,0,0.0,0.0,0.0
